H300-CP-No.1
ñºëO,ë™íËì˙éû ,â◊èd kN,ïœà  mm,ï\-èc É ,ï\-â° É ,ó†-èc É ,ó†-â° É ,èc-ïΩãœ É ,â°-ïΩãœ É 
382,2019/11/01 17:14:21,143.752,15.816,1.76034e+06,-5108.48,1.76025e+06,-37617.1,1.76029e+06,-21362.8
383,2019/11/01 17:14:22,143.768,15.908,1.76034e+06,-5108.48,1.76025e+06,-37570.6,1.76029e+06,-21339.5
384,2019/11/01 17:14:24,143.792,16,1.76034e+06,-5106.58,1.76025e+06,-37528.9,1.76029e+06,-21317.7
385,2019/11/01 17:14:25,143.8,16.096,1.76034e+06,-5106.58,1.76025e+06,-37489.1,1.76029e+06,-21297.8
386,2019/11/01 17:14:26,143.832,16.188,1.76034e+06,-5106.58,1.76025e+06,-37448.3,1.76029e+06,-21277.5
387,2019/11/01 17:14:27,143.84,16.284,1.76034e+06,-5107.53,1.76025e+06,-37405.7,1.76029e+06,-21256.6
388,2019/11/01 17:14:28,143.864,16.372,1.76034e+06,-5110.37,1.76025e+06,-37363,1.76029e+06,-21236.7
389,2019/11/01 17:14:30,143.864,16.468,1.76034e+06,-5115.11,1.76025e+06,-37318.5,1.76029e+06,-21216.8
390,2019/11/01 17:14:31,143.88,16.564,1.76034e+06,-5119.85,1.76025e+06,-37271.1,1.76029e+06,-21195.5
391,2019/11/01 17:14:32,143.888,16.652,1.76034e+06,-5124.59,1.76025e+06,-37221.8,1.76029e+06,-21173.2
392,2019/11/01 17:14:33,143.896,16.744,1.76034e+06,-5128.38,1.76025e+06,-37159.2,1.76029e+06,-21143.8
393,2019/11/01 17:14:34,143.904,16.848,1.76034e+06,-5131.22,1.76025e+06,-37044.6,1.76029e+06,-21087.9
394,2019/11/01 17:14:35,143.912,16.94,1.76034e+06,-5135.95,1.76025e+06,-36893.8,1.76029e+06,-21014.9
395,2019/11/01 17:14:37,143.912,17.036,1.76034e+06,-5140.69,1.76025e+06,-36774.4,1.76029e+06,-20957.5
396,2019/11/01 17:14:38,143.904,17.136,1.76034e+06,-5147.32,1.76025e+06,-36665.4,1.76029e+06,-20906.4
397,2019/11/01 17:14:39,143.912,17.232,1.76034e+06,-5153.01,1.76025e+06,-36574.4,1.76029e+06,-20863.7
398,2019/11/01 17:14:40,143.912,17.336,1.76034e+06,-5159.64,1.76025e+06,-36487.2,1.76029e+06,-20823.4
399,2019/11/01 17:14:41,143.904,17.436,1.76034e+06,-5167.22,1.76025e+06,-36319.4,1.76029e+06,-20743.3
400,2019/11/01 17:14:42,143.888,17.532,1.76034e+06,-5173.85,1.76025e+06,-36160.2,1.76029e+06,-20667
401,2019/11/01 17:14:44,143.888,17.636,1.76034e+06,-5183.33,1.76025e+06,-36016.1,1.76029e+06,-20599.7
402,2019/11/01 17:14:45,143.864,17.732,1.76034e+06,-5189.96,1.76025e+06,-35879.6,1.76029e+06,-20534.8
403,2019/11/01 17:14:46,143.856,17.832,1.76034e+06,-5199.43,1.76025e+06,-35749.8,1.76029e+06,-20474.6
404,2019/11/01 17:14:47,143.832,17.932,1.76034e+06,-5210.8,1.76025e+06,-35458.8,1.76029e+06,-20334.8
405,2019/11/01 17:14:48,143.816,18.032,1.76034e+06,-5219.33,1.76025e+06,-35369.7,1.76029e+06,-20294.5
406,2019/11/01 17:14:49,143.8,18.136,1.76034e+06,-5229.75,1.76025e+06,-35279.6,1.76029e+06,-20254.7
407,2019/11/01 17:14:51,143.768,18.236,1.76034e+06,-5234.49,1.76025e+06,-35219,1.76029e+06,-20226.7
408,2019/11/01 17:14:52,143.728,18.34,1.76034e+06,-5240.17,1.76025e+06,-35163,1.76029e+06,-20201.6
409,2019/11/01 17:14:53,143.704,18.44,1.76034e+06,-5243.01,1.76025e+06,-35113.7,1.76029e+06,-20178.4
410,2019/11/01 17:14:54,143.664,18.544,1.76034e+06,-5248.7,1.76025e+06,-35062.6,1.76029e+06,-20155.6
411,2019/11/01 17:14:55,143.624,18.652,1.76034e+06,-5256.28,1.76025e+06,-35015.2,1.76029e+06,-20135.7
412,2019/11/01 17:14:56,143.584,18.76,1.76034e+06,-5261.01,1.76025e+06,-34970.6,1.76029e+06,-20115.8
413,2019/11/01 17:14:57,143.544,18.868,1.76034e+06,-5268.59,1.76025e+06,-34923.2,1.76029e+06,-20095.9
414,2019/11/01 17:14:59,143.488,18.972,1.76034e+06,-5273.33,1.76025e+06,-34874.9,1.76029e+06,-20074.1
415,2019/11/01 17:15:00,143.44,19.084,1.76034e+06,-5279.01,1.76025e+06,-34828.4,1.76029e+06,-20053.7
416,2019/11/01 17:15:01,143.384,19.192,1.76034e+06,-5282.8,1.76025e+06,-34787.7,1.76029e+06,-20035.2
417,2019/11/01 17:15:02,143.32,19.304,1.76034e+06,-5286.59,1.76025e+06,-34746,1.76029e+06,-20016.3
418,2019/11/01 17:15:03,143.256,19.416,1.76034e+06,-5289.44,1.76025e+06,-34701.4,1.76029e+06,-19995.4
419,2019/11/01 17:15:05,143.176,19.528,1.76034e+06,-5291.33,1.76025e+06,-34641.7,1.76029e+06,-19966.5
420,2019/11/01 17:15:06,143.112,19.644,1.76034e+06,-5296.07,1.76025e+06,-34582,1.76029e+06,-19939
421,2019/11/01 17:15:07,143.024,19.76,1.76034e+06,-5303.65,1.76025e+06,-34542.2,1.76029e+06,-19922.9
422,2019/11/01 17:15:08,142.944,19.872,1.76034e+06,-5315.96,1.76025e+06,-34511.8,1.76029e+06,-19913.9
423,2019/11/01 17:15:09,142.856,19.984,1.76034e+06,-5331.12,1.76025e+06,-34484.4,1.76029e+06,-19907.7
424,2019/11/01 17:15:10,142.76,20.104,1.76034e+06,-5349.12,1.76025e+06,-34457.8,1.76029e+06,-19903.5
425,2019/11/01 17:15:12,142.648,20.22,1.76034e+06,-5359.55,1.76025e+06,-34430.3,1.76029e+06,-19894.9
426,2019/11/01 17:15:13,142.544,20.332,1.76034e+06,-5365.23,1.76025e+06,-34402.8,1.76029e+06,-19884
427,2019/11/01 17:15:14,142.416,20.452,1.76034e+06,-5366.18,1.76025e+06,-34375.4,1.76029e+06,-19870.8
428,2019/11/01 17:15:15,142.296,20.576,1.76034e+06,-5365.23,1.76025e+06,-34347.9,1.76029e+06,-19856.5
429,2019/11/01 17:15:16,142.16,20.7,1.76034e+06,-5364.28,1.76025e+06,-34318.5,1.76029e+06,-19841.4
430,2019/11/01 17:15:18,142.016,20.816,1.76034e+06,-5365.23,1.76025e+06,-34291.9,1.76029e+06,-19828.6
431,2019/11/01 17:15:19,141.872,20.932,1.76034e+06,-5369.97,1.76025e+06,-34272,1.76029e+06,-19821
432,2019/11/01 17:15:20,141.704,21.06,1.76034e+06,-5384.18,1.76025e+06,-34245.5,1.76029e+06,-19814.8
433,2019/11/01 17:15:21,141.52,21.184,1.76034e+06,-5402.18,1.76025e+06,-34219.9,1.76029e+06,-19811
434,2019/11/01 17:15:22,141.328,21.316,1.76034e+06,-5414.5,1.76025e+06,-34192.4,1.76029e+06,-19803.5
435,2019/11/01 17:15:23,141.12,21.444,1.76034e+06,-5432.5,1.76025e+06,-34164,1.76029e+06,-19798.2
436,2019/11/01 17:15:25,140.904,21.576,1.76034e+06,-5438.18,1.76025e+06,-34138.4,1.76029e+06,-19788.3
437,2019/11/01 17:15:26,140.672,21.712,1.76034e+06,-5438.18,1.76025e+06,-34110.9,1.76029e+06,-19774.5
438,2019/11/01 17:15:27,140.432,21.844,1.76034e+06,-5446.71,1.76025e+06,-34080.6,1.76029e+06,-19763.6
439,2019/11/01 17:15:28,140.16,21.98,1.76034e+06,-5453.34,1.76025e+06,-34047.4,1.76029e+06,-19750.4
440,2019/11/01 17:15:29,139.872,22.12,1.76034e+06,-5443.87,1.76025e+06,-34012.3,1.76029e+06,-19728.1
441,2019/11/01 17:15:30,139.6,22.26,1.76034e+06,-5432.5,1.76025e+06,-33979.1,1.76029e+06,-19705.8
442,2019/11/01 17:15:32,139.264,22.396,1.76034e+06,-5397.44,1.76025e+06,-33942.2,1.76029e+06,-19669.8
443,2019/11/01 17:15:33,138.912,22.544,1.76034e+06,-5349.12,1.76025e+06,-33904.3,1.76029e+06,-19626.7
444,2019/11/01 17:15:34,138.536,22.696,1.76034e+06,-5301.75,1.76025e+06,-33868.2,1.76029e+06,-19585
445,2019/11/01 17:15:35,138.16,22.84,1.76034e+06,-5275.23,1.76025e+06,-33830.3,1.76029e+06,-19552.8
446,2019/11/01 17:15:36,137.736,23,1.76034e+06,-5270.49,1.76025e+06,-33793.4,1.76029e+06,-19531.9
447,2019/11/01 17:15:37,137.288,23.16,1.76034e+06,-5281.86,1.76025e+06,-33754.5,1.76029e+06,-19518.2
448,2019/11/01 17:15:39,136.808,23.32,1.76034e+06,-5299.86,1.76025e+06,-33717.5,1.76029e+06,-19508.7
449,2019/11/01 17:15:40,136.312,23.48,1.76034e+06,-5308.38,1.76025e+06,-33678.7,1.76029e+06,-19493.5
450,2019/11/01 17:15:41,135.8,23.644,1.76034e+06,-5303.65,1.76025e+06,-33640.8,1.76029e+06,-19472.2
451,2019/11/01 17:15:42,135.208,23.816,1.76034e+06,-5285.65,1.76025e+06,-33600,1.76029e+06,-19442.8
452,2019/11/01 17:15:43,134.592,23.992,1.76034e+06,-5258.17,1.76025e+06,-33556.4,1.76029e+06,-19407.3
453,2019/11/01 17:15:45,133.944,24.164,1.76034e+06,-5226.91,1.76025e+06,-33514.7,1.76029e+06,-19370.8
454,2019/11/01 17:15:46,133.224,24.352,1.76034e+06,-5187.12,1.76025e+06,-33471.1,1.76029e+06,-19329.1
455,2019/11/01 17:15:47,132.448,24.544,1.76034e+06,-5145.43,1.76025e+06,-33425.6,1.76029e+06,-19285.5
456,2019/11/01 17:15:48,131.64,24.728,1.76034e+06,-5094.27,1.76025e+06,-33380.1,1.76029e+06,-19237.2
457,2019/11/01 17:15:49,130.728,24.936,1.76034e+06,-5043.11,1.76025e+06,-33333.6,1.76029e+06,-19188.4
458,2019/11/01 17:15:50,129.752,25.144,1.76034e+06,-5001.42,1.76025e+06,-33288.2,1.76029e+06,-19144.8
459,2019/11/01 17:15:52,128.656,25.364,1.76034e+06,-4978.68,1.76025e+06,-33237,1.76029e+06,-19107.8
460,2019/11/01 17:15:53,127.504,25.584,1.76034e+06,-4985.31,1.76025e+06,-33187.7,1.76029e+06,-19086.5
461,2019/11/01 17:15:54,126.2,25.812,1.76034e+06,-5024.16,1.76025e+06,-33137.4,1.76029e+06,-19080.8
462,2019/11/01 17:15:55,124.784,26.052,1.76034e+06,-5102.79,1.76025e+06,-33089.1,1.76029e+06,-19095.9
463,2019/11/01 17:15:56,123.28,26.296,1.76034e+06,-5173.85,1.76025e+06,-33039.8,1.76029e+06,-19106.8
464,2019/11/01 17:15:57,121.504,26.56,1.76034e+06,-5229.75,1.76025e+06,-32988.6,1.76029e+06,-19109.2
465,2019/11/01 17:15:59,119.528,26.832,1.76034e+06,-5262.91,1.76025e+06,-32939.3,1.76029e+06,-19101.1
466,2019/11/01 17:16:00,117.256,27.12,1.76034e+06,-5268.59,1.76025e+06,-32886.3,1.76029e+06,-19077.4
467,2019/11/01 17:16:01,114.856,27.404,1.76034e+06,-5245.85,1.76025e+06,-32837,1.76029e+06,-19041.4
468,2019/11/01 17:16:02,111.88,27.712,1.76034e+06,-5207.01,1.76025e+06,-32783.9,1.76029e+06,-18995.4
469,2019/11/01 17:16:03,4.24,28.168,1.76034e+06,-4495.5,1.76025e+06,-32663.5,1.76029e+06,-18579.5
470,2019/11/01 17:16:04,4.232,28.496,1.76034e+06,-4291.8,1.76025e+06,-32610.4,1.76029e+06,-18451.1
471,2019/11/01 17:16:06,4.232,28.792,1.76034e+06,-4046.42,1.76025e+06,-32559.2,1.76029e+06,-18302.8
472,2019/11/01 17:16:07,4.232,29.04,1.76034e+06,-3936.52,1.76025e+06,-32511.8,1.76029e+06,-18224.2
473,2019/11/01 17:16:08,4.24,29.08,1.76034e+06,-3990.53,1.76025e+06,-32468.2,1.76029e+06,-18229.4
474,2019/11/01 17:16:09,4.24,29.016,1.76034e+06,-4003.79,1.76025e+06,-32432.2,1.76029e+06,-18218
475,2019/11/01 17:16:10,4.24,28.948,1.76034e+06,-4156.32,1.76025e+06,-32400.9,1.76029e+06,-18278.6
476,2019/11/01 17:16:12,4.232,28.876,1.76034e+06,-4256.75,1.76025e+06,-32374.4,1.76029e+06,-18315.6
477,2019/11/01 17:16:13,4.24,28.796,1.76034e+06,-4308.86,1.76025e+06,-32352.6,1.76029e+06,-18330.7
478,2019/11/01 17:16:14,4.232,28.72,1.76034e+06,-4353.39,1.76025e+06,-32333.6,1.76029e+06,-18343.5
479,2019/11/01 17:16:15,4.24,28.644,1.76034e+06,-4385.6,1.76025e+06,-32319.4,1.76029e+06,-18352.5
480,2019/11/01 17:16:16,4.24,28.828,1.76034e+06,-4388.44,1.76025e+06,-32310,1.76029e+06,-18349.2
481,2019/11/01 17:16:17,4.248,29.04,1.76034e+06,-4396.97,1.76025e+06,-32302.4,1.76029e+06,-18349.7
